date,SBI_Bluechip,ICICI_Bluechip,Nippon_Large_Cap,Axis_Bluechip,Kotak_Bluechip
2013-04-14,103.5704,14.0426,13.3635,24.5986,31.1464
2013-04-15,103.6711,13.985,13.4536,24.6045,31.1685
2013-04-16,103.0719,14.2436,13.7055,24.6103,31.1787
2013-04-17,103.0866,14.267,13.7107,24.6161,31.1958
2013-04-18,103.1589,14.4401,13.9167,24.6219,31.2408
2013-04-19,103.1589,14.4401,13.9167,24.6219,31.2458
2013-04-21,103.1589,14.4401,13.9167,24.6392,31.2458
2013-04-22,103.216,14.6259,14.0431,24.645,31.2718
2013-04-23,103.2481,14.5801,13.9829,24.6507,31.2609
2013-04-24,103.2481,14.5801,13.9829,24.6565,31.2657
2013-04-25,103.2947,14.7586,14.0593,24.6623,31.3033
2013-04-26,103.3139,14.7058,14.0531,24.6681,31.3278
2013-04-28,103.3139,14.7058,14.0531,24.6796,31.3278
2013-04-29,103.3845,14.8289,14.1084,24.6855,31.3398
2013-04-30,103.0655,14.8945,14.1086,24.6913,31.3503
2013-05-01,103.0655,14.8945,14.1086,24.6971,31.3503
2013-05-02,103.2057,15.1032,14.229,24.7029,31.3834
2013-05-03,103.2082,15.0518,14.1115,24.7088,31.3656
2013-05-05,103.2082,15.0518,14.1115,24.7203,31.3656
2013-05-06,103.2821,15.1497,14.2356,24.726,31.3995
2013-05-07,103.3087,15.2704,14.3852,24.7318,31.4319
2013-05-08,103.3404,15.3597,14.3518,24.7375,31.4751
2013-05-09,103.3949,15.2634,14.2864,24.7432,31.4968
2013-05-10,103.4157,15.3358,14.3731,24.7491,31.4982
2013-05-12,103.4157,15.3358,14.3731,24.7604,31.4982
2013-05-13,103.4824,15.1284,14.1432,24.7661,31.4879
2013-05-14,103.5159,15.2336,14.2231,24.7718,31.5705
2013-05-15,103.113,15.5617,14.5276,24.7776,31.5899
2013-05-16,103.141,15.5917,14.5877,24.7833,31.5827
2013-05-17,103.1745,15.6811,14.6518,24.7891,31.5851
2013-05-19,103.1745,15.6811,14.6518,24.8004,31.5851
2013-05-20,103.2356,15.5963,14.5075,24.8061,31.5989
2013-05-21,103.2444,15.4753,14.395,24.8118,31.5881
2013-05-22,103.2698,15.4089,14.2804,24.8174,31.5981
2013-05-23,103.2705,15.2194,13.9275,24.823,31.6113
2013-05-24,103.2834,15.3594,13.9741,24.8285,31.6135
2013-05-26,103.2834,15.3594,13.9741,24.8398,31.6135
2013-05-27,103.349,15.508,14.1468,24.8455,31.6336
2013-05-28,103.3617,15.5632,14.2241,24.8511,31.6184
2013-05-29,103.0877,15.5996,14.1521,24.8568,31.6166
2013-05-30,103.1152,15.6604,14.1108,24.8624,31.6382
2013-05-31,103.1296,15.4335,13.9164,24.8679,31.6046
2013-06-02,103.1296,15.4335,13.9164,24.8791,31.6046
2013-06-03,103.1984,15.2578,13.8393,24.8847,31.5998
2013-06-04,103.225,15.2142,13.8528,24.8903,31.6364
2013-06-05,103.2598,15.2456,13.8796,24.8958,31.6295
2013-06-06,103.2957,15.2391,13.8693,24.9014,31.6568
2013-06-07,103.3194,15.2015,13.7436,24.907,31.6497
2013-06-09,103.3194,15.2015,13.7436,24.9182,31.6497
2013-06-10,103.3704,15.1368,13.6318,24.9237,31.6326
2013-06-11,103.3832,14.9065,13.3795,24.9292,31.5828
2013-06-12,103.3913,14.8527,13.3408,24.9347,31.5693
2013-06-13,103.4056,14.6936,13.199,24.9402,31.5726
2013-06-14,103.4267,14.8852,13.4526,24.9455,31.5823
2013-06-16,103.4267,14.8852,13.4526,24.9567,31.5823
2013-06-17,103.154,14.9613,13.5024,24.9622,31.6026
2013-06-18,103.221,14.9532,13.4342,24.9678,31.6199
2013-06-19,103.2602,15.0209,13.4689,24.9733,31.6167
2013-06-20,103.2642,14.7284,13.142,24.9788,30.9819
2013-06-21,103.2992,14.7306,13.1933,24.9844,31.5604
2013-06-23,103.2992,14.7306,13.1933,24.9955,31.5604
2013-06-24,103.3469,14.4707,12.9791,25.0009,31.5935
2013-06-25,103.3595,14.4939,12.9839,25.0065,31.5983
2013-06-26,103.3772,14.4661,12.9478,25.0121,31.5682
2013-06-27,103.3957,14.5856,13.1137,25.0177,31.551
2013-06-28,103.4072,14.9322,13.445,25.0257,31.6061
2013-07-01,103.4072,15.0643,13.6086,25.0444,31.6354
2013-07-02,103.2075,15.0405,13.5237,25.0506,31.6447
2013-07-03,103.2267,14.8874,13.2808,25.0562,31.6149
2013-07-04,103.265,15.0843,13.3744,25.0619,31.7005
2013-07-05,103.2854,15.1472,13.4009,25.0681,31.7308
2013-07-07,103.2854,15.1472,13.4009,25.0783,31.7308
2013-07-08,103.3431,15.0639,13.2314,25.0838,31.6958
2013-07-09,103.368,15.2741,13.3168,25.0893,31.7138
2013-07-10,103.3886,15.273,13.259,25.0948,31.7128
2013-07-11,103.4083,15.4709,13.4425,25.1004,31.757
2013-07-12,103.4314,15.6022,13.6028,25.1064,31.8051
2013-07-14,103.4314,15.6022,13.6028,25.117,31.8051
2013-07-15,103.4995,15.661,13.6813,25.1225,31.8193
2013-07-16,102.6046,15.4107,13.4826,25.0654,31.5549
2013-07-17,102.7023,15.3551,13.4057,25.0747,31.5346
2013-07-18,102.8496,15.4558,13.5266,25.0859,31.6192
2013-07-19,102.8672,15.3425,13.491,25.0951,31.6159
2013-07-21,102.8672,15.3425,13.491,25.1088,31.6159
2013-07-22,102.9274,15.3172,13.4323,25.1157,31.5924
2013-07-23,102.8344,15.3502,13.5137,25.12,31.5579
2013-07-24,102.6244,15.1837,13.2616,25.0935,31.3712
2013-07-25,102.6991,15.0259,13.1914,25.1012,31.5939
2013-07-26,102.7573,15.025,13.0735,25.109,31.591
2013-07-28,102.7573,15.025,13.0735,25.1236,31.591
2013-07-29,102.8554,14.9306,13.0033,25.131,31.5584
2013-07-30,102.8875,14.806,12.7471,25.1385,31.5287
2013-07-31,102.9055,14.7567,12.9014,25.146,31.463
2013-08-01,102.9596,14.7515,12.766,25.1536,31.5515
2013-08-02,103.0101,14.6639,12.6617,25.1607,31.5368
2013-08-04,103.0101,14.6639,12.6617,25.1748,31.5368
2013-08-05,103.1389,14.6753,12.7128,25.1832,31.5483
2013-08-06,103.1471,14.3633,12.3588,25.1904,31.5344
2013-08-07,103.1785,14.2345,12.4816,25.1974,31.5634
2013-08-08,103.2116,14.3894,12.7214,25.2051,31.6269
2013-08-11,103.2116,14.3894,12.7214,25.2278,31.6269
2013-08-12,103.2958,14.5806,12.8515,25.2342,31.6104
2013-08-13,103.3152,14.7677,13.0239,25.2414,31.6179
2013-08-14,103.364,14.803,13.0848,25.2486,31.5721
2013-08-15,103.364,14.803,13.0848,25.2559,31.5721
2013-08-16,103.1558,14.3818,12.6349,25.263,31.4561
2013-08-18,103.1558,14.3818,12.6349,25.2777,31.4561
2013-08-19,103.207,14.102,12.4366,25.2847,31.2745
2013-08-20,103.2086,13.9956,12.4137,25.2918,31.2916
2013-08-21,103.3135,13.8249,12.2191,25.2993,31.4778
2013-08-22,103.3345,13.8944,12.424,25.3066,31.477
2013-08-23,103.3768,14.066,12.5759,25.3141,31.5853
2013-08-25,103.3768,14.066,12.5759,25.3289,31.5853
2013-08-26,103.4776,14.1695,12.6806,25.3361,31.5711
2013-08-27,103.4881,13.7614,12.2979,25.3433,31.403
2013-08-28,103.4713,13.6318,12.2443,25.3507,31.3056
2013-08-29,103.1588,13.8991,12.4848,25.3581,31.3412
2013-08-30,103.214,14.1497,12.6214,25.3659,31.4007
2013-09-01,103.214,14.1497,12.6214,25.3804,31.4007
2013-09-02,103.3253,14.2365,12.794,25.3877,31.5122
2013-09-03,103.3815,13.9014,12.3669,25.3949,31.4503
2013-09-04,103.4408,14.0106,12.564,25.403,31.5182
2013-09-05,103.5445,14.3129,12.8133,25.4121,31.6593
2013-09-06,103.5778,14.4284,12.9802,25.4198,31.6505
2013-09-09,103.5778,14.4284,12.9802,25.4408,31.6505
2013-09-10,103.7133,14.8613,13.3471,25.4483,31.733
2013-09-11,103.7462,14.9458,13.4542,25.4558,31.7662
2013-09-12,103.7831,14.8835,13.3458,25.4632,31.7783
2013-09-13,103.8036,14.8914,13.3653,25.4707,31.8004
2013-09-15,103.8036,14.8914,13.3653,25.4852,31.8004
2013-09-16,103.8949,14.8783,13.2876,25.4927,31.8692
2013-09-17,103.2261,14.9042,13.3498,25.5003,31.8351
2013-09-18,103.3108,14.9935,13.4428,25.5079,31.8899
2013-09-19,103.4545,15.3962,13.819,25.5168,32.0075
2013-09-20,103.5346,15.2064,13.6366,25.5251,31.934
2013-09-22,103.5346,15.2064,13.6366,25.5398,31.934
2013-09-23,103.594,14.9949,13.408,25.5472,31.8585
2013-09-24,103.6,15.0645,13.3638,25.5544,31.8426
2013-09-25,103.6534,14.9967,13.355,25.5616,31.8851
2013-09-26,103.6866,14.9804,13.3434,25.5691,31.916
2013-09-27,103.724,14.9389,13.2945,25.5767,31.9532
2013-09-29,103.724,14.9389,13.2945,25.5911,31.9532
2013-09-30,103.7595,14.8343,13.1286,25.5987,31.9301
2013-10-01,103.2655,14.9575,13.2715,25.6067,31.9686
2013-10-02,103.2655,14.9575,13.2715,25.6141,31.974
2013-10-03,103.3443,15.1916,13.5608,25.6214,32.0673
2013-10-04,103.4092,15.2672,13.5546,25.629,32.0989
2013-10-06,103.4092,15.2672,13.5546,25.6434,32.0989
2013-10-07,103.5211,15.3439,13.6097,25.6508,32.1285
2013-10-08,103.7122,15.3869,13.6174,25.6587,32.2513
2013-10-09,103.7191,15.6088,13.7175,25.6659,32.3213
2013-10-10,103.7396,15.6447,13.7388,25.673,32.301
2013-10-11,103.7572,15.7415,13.9215,25.6801,32.3317
2013-10-13,103.7572,15.7415,13.9215,25.694,32.3317
2013-10-14,103.8303,15.7324,13.9362,25.7011,32.3093
2013-10-15,103.2589,15.679,13.8854,25.7083,32.2883
2013-10-16,103.2589,15.679,13.8854,25.7154,32.2938
2013-10-17,103.3326,15.5453,13.7852,25.7225,32.3189
2013-10-18,103.3672,15.7809,14.0524,25.7294,32.4268
2013-10-20,103.3672,15.7809,14.0524,25.743,32.4268
2013-10-21,103.4516,15.8894,14.1188,25.75,32.4775
2013-10-22,103.4859,15.877,14.115,25.757,32.4872
2013-10-23,103.4986,15.8677,14.0597,25.764,32.5233
2013-10-24,103.5248,15.9415,14.0033,25.771,32.5346
2013-10-25,103.5569,15.8675,13.95,25.7779,32.5173
2013-10-27,103.5569,15.8675,13.95,25.7917,32.5173
2013-10-28,103.6375,15.8194,13.8624,25.7986,32.5484
2013-10-29,103.332,16.1585,14.119,25.8056,32.6515
2013-10-30,103.3571,16.1802,14.2056,25.8127,32.6125
2013-10-31,103.3858,16.2736,14.3413,25.8195,32.6518
2013-11-01,103.3966,16.2955,14.4273,25.8264,32.6454
2013-11-04,103.3966,16.2955,14.4273,25.8466,32.6618
2013-11-05,103.4962,16.2853,14.4377,25.8532,32.7174
2013-11-06,103.5239,16.3485,14.4002,25.8599,32.6265
2013-11-07,103.5073,16.3104,14.28,25.8666,32.5983
2013-11-08,103.5326,16.2705,14.182,25.8733,32.5316
2013-11-10,103.5326,16.2705,14.182,25.8867,32.5316
